,strain_db,strain_api,error details,organism_type
5423,9713,16964,--,1
5424,9736,16965,--,1
5425,9740,16966,--,1
5426,9742,16967,--,1
5427,9747,16968,--,1
5428,9748,16969,--,1
5429,9754,16970,--,1
5430,9757,16971,--,1
5431,9760,16972,--,1
5432,9761,16973,--,1
5433,9763,16974,--,1
5434,9766,16975,--,1
5435,9769,16976,--,1
5436,9772,16977,--,1
5437,9773,16978,--,1
5438,9780,16979,--,1
5439,9783,16980,--,1
5440,9786,16981,--,1
5441,9799,16982,--,1
5442,9803,16983,-1,3
5443,9809,16984,--,1
5444,9814,16985,--,1
5445,9815,16986,--,1
5446,9819,16987,--,1
5447,9821,16988,--,1
5448,9940,16989,--,2
5449,9941,16990,--,1
5450,9942,16991,--,1
5451,9943,16992,--,1
5452,9944,16993,--,1
5453,9945,16994,--,1
5454,9946,16995,--,1
5455,9947,16996,--,1
5456,9948,16997,--,1
5457,9949,16998,--,1
5458,9950,16999,--,1
5459,9951,17000,--,1
5460,9952,17001,--,1
5461,9953,17002,--,1
5462,9954,17003,--,1
5463,9955,17004,--,1
5464,9956,17005,--,1
5465,9957,17006,--,1
5466,9958,17007,--,1
5467,9959,17008,--,1
5468,9960,17009,--,1
5469,9961,17010,--,1
5470,9963,17011,--,1
5471,9964,17012,--,1
5472,9965,17013,--,1
5473,9966,17014,--,1
5474,9967,17015,--,1
5475,9968,17016,--,1
5476,9969,17017,--,1
5477,9984,17018,--,2
5478,9985,17019,--,2
5479,9986,17020,--,2
5480,9987,17021,--,1
5481,9988,17022,--,1
5482,9989,17023,--,1
5483,10070,17024,--,1
5484,9962,17025,--,1
5485,9982,17026,--,1
5486,9983,17027,--,1
